Year,League,FranchiseID,name,Division,W,L,DivWin,WCWin,LgWin,WSWin,R,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ERA,CG,SHO,SV,HA,HRA,BBA,SOA,E,DP,FP,Playoffs,Win %
1997,NL,SDP,San Diego Padres,W,76,86,N,N,N,N,795,1519,275,16,152,604.0,1129.0,140.0,60.0,35.0,58.0,891,4.98,5,2,43,1581,172,596,1059,132,132,0.979,0,0.469
1997,AL,SEA,Seattle Mariners,W,90,72,Y,N,N,N,925,1574,312,21,264,626.0,1110.0,89.0,40.0,49.0,49.0,833,4.78,9,8,38,1500,192,598,1207,126,143,0.979,1,0.556
1997,NL,SFG,San Francisco Giants,W,90,72,Y,N,N,N,784,1415,266,37,172,642.0,1120.0,121.0,49.0,46.0,59.0,793,4.39,5,9,45,1494,160,578,1044,125,157,0.98,1,0.556
1997,NL,STL,St. Louis Cardinals,C,73,89,N,N,N,N,689,1409,269,39,144,543.0,1191.0,164.0,60.0,42.0,44.0,708,3.88,5,3,39,1422,124,536,1130,123,156,0.98,0,0.451
1997,AL,TEX,Texas Rangers,W,77,85,N,N,N,N,807,1547,311,27,187,500.0,1116.0,72.0,37.0,34.0,52.0,823,4.69,8,9,33,1598,169,541,925,121,155,0.98,0,0.475
1997,AL,TOR,Toronto Blue Jays,E,76,86,N,N,N,N,654,1333,275,41,147,487.0,1138.0,134.0,50.0,59.0,52.0,694,3.92,19,16,34,1453,167,497,1150,94,150,0.984,0,0.469
1998,AL,ANA,Anaheim Angels,W,85,77,N,N,N,N,787,1530,314,27,147,510.0,1028.0,93.0,45.0,48.0,41.0,783,4.49,3,5,52,1481,164,630,1091,106,146,0.983,0,0.525
1998,NL,ARI,Arizona Diamondbacks,W,65,97,N,N,N,N,665,1353,235,46,159,489.0,1239.0,73.0,38.0,64.0,27.0,812,4.63,7,6,37,1463,188,489,908,100,125,0.984,0,0.401
1998,NL,ATL,Atlanta Braves,E,106,56,Y,N,N,N,826,1489,297,26,215,548.0,1062.0,98.0,43.0,61.0,46.0,581,3.25,24,23,45,1291,117,467,1232,91,139,0.985,1,0.654
1998,AL,BAL,Baltimore Orioles,E,79,83,N,N,N,N,817,1520,303,11,214,593.0,903.0,86.0,48.0,58.0,44.0,785,4.74,16,10,37,1505,169,535,1065,81,144,0.987,0,0.488
1998,AL,BOS,Boston Red Sox,E,92,70,N,Y,N,N,876,1568,338,35,205,541.0,1049.0,72.0,39.0,70.0,52.0,729,4.18,5,8,53,1406,168,504,1025,105,128,0.983,1,0.568
1998,AL,CHW,Chicago White Sox,C,80,82,N,N,N,N,861,1516,291,38,198,551.0,916.0,127.0,46.0,47.0,59.0,931,5.22,8,4,42,1569,211,580,911,140,161,0.977,0,0.494
1998,NL,CHC,Chicago Cubs,C,90,73,N,Y,N,N,831,1494,250,34,212,601.0,1223.0,65.0,44.0,39.0,37.0,792,4.47,7,7,56,1528,180,575,1207,101,107,0.984,1,0.552
1998,NL,CIN,Cincinnati Reds,C,77,85,N,N,N,N,750,1441,298,28,138,608.0,1107.0,95.0,42.0,37.0,49.0,760,4.44,6,8,42,1400,170,573,1098,122,142,0.98,0,0.475
1998,AL,CLE,Cleveland Indians,C,89,73,Y,N,N,N,850,1530,334,30,198,630.0,1061.0,143.0,60.0,41.0,59.0,779,4.44,9,4,47,1552,171,563,1037,110,146,0.982,1,0.549
1998,NL,COL,Colorado Rockies,W,77,85,N,N,N,N,826,1640,333,36,183,469.0,949.0,67.0,47.0,37.0,41.0,855,4.99,9,5,36,1583,174,562,951,102,193,0.984,0,0.475
1998,AL,DET,Detroit Tigers,C,65,97,N,N,N,N,722,1494,306,29,165,455.0,1070.0,122.0,62.0,62.0,45.0,863,4.93,9,4,32,1551,185,595,947,115,164,0.982,0,0.401
1998,NL,FLA,Florida Marlins,E,54,108,N,N,N,N,667,1381,277,36,114,525.0,1120.0,115.0,57.0,45.0,29.0,923,5.18,11,3,24,1617,182,715,1016,129,177,0.979,0,0.333
1998,NL,HOU,Houston Astros,C,102,60,Y,N,N,N,874,1578,326,28,166,621.0,1122.0,155.0,51.0,72.0,49.0,620,3.5,12,11,44,1435,147,465,1187,108,144,0.983,1,0.63
1998,AL,KCR,Kansas City Royals,C,72,89,N,N,N,N,714,1459,274,40,134,475.0,984.0,135.0,50.0,60.0,65.0,899,5.15,6,5,46,1590,196,568,999,125,172,0.98,0,0.447
1998,NL,LAD,Los Angeles Dodgers,W,83,79,N,N,N,N,669,1374,209,27,159,447.0,1056.0,137.0,53.0,36.0,43.0,678,3.81,16,10,47,1332,135,587,1178,134,154,0.978,0,0.512
1998,NL,MIL,Milwaukee Brewers,C,74,88,N,N,N,N,707,1439,266,17,152,532.0,1039.0,81.0,59.0,66.0,32.0,812,4.63,2,2,39,1538,188,550,1063,110,192,0.982,0,0.457
1998,AL,MIN,Minnesota Twins,C,70,92,N,N,N,N,734,1499,285,32,115,506.0,915.0,112.0,54.0,45.0,52.0,818,4.75,7,8,42,1622,180,457,952,108,135,0.982,0,0.432
1998,NL,WSN,Montreal Expos,E,65,97,N,N,N,N,644,1348,280,32,147,439.0,1058.0,91.0,46.0,60.0,37.0,783,4.38,4,5,39,1448,156,533,1017,155,127,0.975,0,0.401
1998,AL,NYY,New York Yankees,E,114,48,Y,N,Y,Y,965,1625,290,31,207,653.0,1025.0,153.0,63.0,57.0,59.0,656,3.82,22,16,48,1357,156,466,1080,98,146,0.984,1,0.704
1998,NL,NYM,New York Mets,E,88,74,N,N,N,N,706,1425,289,24,136,572.0,1049.0,62.0,46.0,37.0,48.0,645,3.76,9,16,46,1381,152,532,1129,101,151,0.984,0,0.543
1998,AL,OAK,Oakland Athletics,W,74,88,N,N,N,N,804,1413,295,13,149,633.0,1122.0,131.0,47.0,55.0,46.0,866,4.81,12,4,39,1555,179,529,922,141,155,0.977,0,0.457
1998,NL,PHI,Philadelphia Phillies,E,75,87,N,N,N,N,713,1482,286,36,126,508.0,1080.0,97.0,45.0,45.0,65.0,808,4.64,21,10,32,1476,188,544,1176,110,131,0.982,0,0.463
1998,NL,PIT,Pittsburgh Pirates,C,69,93,N,N,N,N,650,1395,271,35,107,393.0,1060.0,159.0,51.0,91.0,56.0,718,3.91,7,10,41,1433,147,530,1112,140,161,0.977,0,0.426
1998,NL,SDP,San Diego Padres,W,98,64,Y,N,Y,N,749,1390,292,30,167,604.0,1072.0,79.0,37.0,48.0,45.0,635,3.63,14,11,59,1384,139,501,1217,104,155,0.983,1,0.605
1998,AL,SEA,Seattle Mariners,W,76,85,N,N,N,N,859,1553,321,28,234,558.0,1081.0,115.0,39.0,57.0,48.0,855,4.93,17,7,31,1530,196,528,1156,125,139,0.979,0,0.472
1998,NL,SFG,San Francisco Giants,W,89,74,N,N,N,N,845,1540,292,26,161,678.0,1040.0,102.0,51.0,44.0,53.0,739,4.18,6,6,44,1457,171,562,1089,101,157,0.984,0,0.546
1998,NL,STL,St. Louis Cardinals,C,83,79,N,N,N,N,810,1444,292,30,223,676.0,1179.0,133.0,41.0,42.0,34.0,782,4.31,6,10,44,1513,151,558,972,142,160,0.978,0,0.512
